horizon_min,cohort,model,n_windows,reverse_slope,reverse_intercept,corr
30,all,persistence,30302,,,
30,all,ridge,30302,1.0219,0.6423,0.5043
30,all,lstm (glucose only),30302,0.9968,0.2149,0.5844
30,all,lstm (glucose + insulin/carbs),30302,0.9806,0.3079,0.6118
30,2018,persistence,15397,,,
30,2018,ridge,15397,0.8712,1.2953,0.4509
30,2018,lstm (glucose only),15397,0.9464,0.7413,0.558
30,2018,lstm (glucose + insulin/carbs),15397,0.9194,0.8788,0.5812
30,2020,persistence,14905,,,
30,2020,ridge,14905,1.198,-0.318,0.5609
30,2020,lstm (glucose only),14905,1.0466,-0.3922,0.6093
30,2020,lstm (glucose + insulin/carbs),14905,1.0425,-0.3683,0.6411
60,all,persistence,29961,,,
60,all,ridge,29961,0.959,1.4329,0.4603
60,all,lstm (glucose only),29961,0.9769,0.7481,0.5343
60,all,lstm (glucose + insulin/carbs),29961,0.9602,1.4265,0.5713
60,2018,persistence,15250,,,
60,2018,ridge,15250,0.8375,2.9592,0.4335
60,2018,lstm (glucose only),15250,0.9135,1.9417,0.5237
60,2018,lstm (glucose + insulin/carbs),15250,0.8728,2.5947,0.5455
60,2020,persistence,14711,,,
60,2020,ridge,14711,1.1272,-0.7279,0.4954
60,2020,lstm (glucose only),14711,1.0503,-0.688,0.5475
60,2020,lstm (glucose + insulin/carbs),14711,1.0586,-0.0748,0.599
