horizon_min,cohort,model,n_readings,pct_A,pct_B,pct_C,pct_D,pct_E,pct_A+B
30,all,persistence,30302,83.3707,15.6392,0.0165,0.9735,0.0,99.01
30,all,ridge,30302,87.9579,10.732,0.0264,1.2804,0.0033,98.6899
30,all,lstm (glucose only),30302,89.2067,9.3406,0.0046,1.4481,0.0,98.5473
30,all,lstm (glucose + insulin/carbs),30302,89.8997,8.7968,0.004,1.2996,0.0,98.6965
30,2018,persistence,15397,85.5881,13.5676,0.013,0.8313,0.0,99.1557
30,2018,ridge,15397,89.3681,9.4759,0.0455,1.1041,0.0065,98.8439
30,2018,lstm (glucose only),15397,90.5488,8.2146,0.0091,1.2275,0.0,98.7634
30,2018,lstm (glucose + insulin/carbs),15397,91.0164,7.8574,0.0078,1.1184,0.0,98.8738
30,2020,persistence,14905,81.0802,17.7793,0.0201,1.1204,0.0,98.8594
30,2020,ridge,14905,86.5012,12.0295,0.0067,1.4626,0.0,98.5307
30,2020,lstm (glucose only),14905,87.8202,10.5039,0.0,1.6759,0.0,98.3241
30,2020,lstm (glucose + insulin/carbs),14905,88.7461,9.7672,0.0,1.4867,0.0,98.5133
60,all,persistence,29961,64.7108,32.1585,0.6275,2.4432,0.0601,96.8693
60,all,ridge,29961,67.2708,29.0277,0.2603,3.4311,0.01,96.2985
60,all,lstm (glucose only),29961,70.1412,26.1173,0.1956,3.5373,0.0087,96.2585
60,all,lstm (glucose + insulin/carbs),29961,71.3895,24.9705,0.1609,3.4738,0.0053,96.3599
60,2018,persistence,15250,68.459,28.9443,0.4393,2.1049,0.0525,97.4033
60,2018,ridge,15250,71.9082,25.023,0.2492,2.8,0.0197,96.9311
60,2018,lstm (glucose only),15250,74.3633,22.4813,0.1495,2.9954,0.0105,96.8446
60,2018,lstm (glucose + insulin/carbs),15250,75.0662,21.7285,0.1902,3.0046,0.0105,96.7948
60,2020,persistence,14711,60.8252,35.4904,0.8225,2.7938,0.068,96.3157
60,2020,ridge,14711,62.4635,33.1793,0.2719,4.0854,0.0,95.6427
60,2020,lstm (glucose only),14711,65.7644,29.8865,0.2434,4.099,0.0068,95.6509
60,2020,lstm (glucose + insulin/carbs),14711,67.578,28.3312,0.1305,3.9603,0.0,95.9092
