cohort,model,horizon_min,n_patients,n_seeds,rmse_mean,rmse_std,mae_mean,mae_std,published_bglp_rmse,rmse_seed_mean,rmse_seed_std,mae_seed_mean,mae_seed_std
all,persistence,30,12,1,23.40389619392199,2.90890959587678,16.96270789466119,2.072718252283056,,,,,
all,linear (k=6),30,12,1,27.33139662308893,4.0519613750179415,18.512032281682217,2.4754678315326397,,,,,
all,ridge (alpha=10),30,12,1,20.229232499863368,2.3504744009840777,14.482054944310674,1.5388550022190237,,,,,
all,lstm (glucose only),30,12,5,19.029284617451953,2.113716366693362,13.469676983450098,1.4899295476035852,,19.02928461745195,0.06232382420966681,13.469676983450096,0.11544840454432709
all,lstm (glucose + insulin/carbs),30,12,5,18.55774141778736,2.1803121252917927,13.134384018203408,1.4682173242916616,,18.55774141778736,0.040511302449568944,13.13438401820341,0.10321705885094548
2018,persistence,30,6,1,22.590255664013657,2.5339268745794845,16.35283199214926,1.579051883165024,,,,,
2018,linear (k=6),30,6,1,27.407146650731306,4.886862930361334,18.15690304472809,2.51037060051378,,,,,
2018,ridge (alpha=10),30,6,1,20.256772121156885,2.4219018276721025,14.224295809450872,1.3256341110959458,,,,,
2018,lstm (glucose only),30,6,5,18.797987778182446,1.8553454249918064,13.136488724755045,1.2177537080961987,,18.797987778182446,0.09699110153397855,13.136488724755045,0.10648691204348625
2018,lstm (glucose + insulin/carbs),30,6,5,18.471157957668904,1.9784512354280364,12.890601077532104,1.185344775568428,,18.471157957668904,0.08485310478333477,12.890601077532102,0.10770742009812456
2020,persistence,30,6,1,24.21753672383033,3.2567237351463856,17.57258379717312,2.4628180136018436,,,,,
2020,linear (k=6),30,6,1,27.255646595446553,3.4964638573867015,18.867161518636347,2.6223709415560177,,,,,
2020,ridge (alpha=10),30,6,1,20.201692878569855,2.5073845147163536,14.739814079170472,1.81466336573205,,,,,
2020,lstm (glucose only),30,6,5,19.260581456721454,2.501689577171331,13.80286524214515,1.7704235181643602,,19.260581456721457,0.060187147915048235,13.80286524214515,0.1373671021124087
2020,lstm (glucose + insulin/carbs),30,6,5,18.644324877905813,2.554606184875154,13.378166958874715,1.7873953437371828,,18.64432487790581,0.08409090489249302,13.378166958874715,0.12327308540222011
all,persistence,60,12,1,38.444669007147944,4.785336608351468,28.52535806282285,3.512904161654285,,,,,
all,linear (k=6),60,12,1,55.32436799458447,7.923659050043022,38.62053040733033,5.507983811662144,,,,,
all,ridge (alpha=10),60,12,1,34.222819376775,3.732755595156811,25.755001376071917,2.882368090545396,,,,,
all,lstm (glucose only),60,12,5,32.56783732385838,3.651214657896763,24.210801071372952,2.7906426382708984,,32.56783732385838,0.04138275762389089,24.210801071372952,0.12787353048789446
all,lstm (glucose + insulin/carbs),60,12,5,31.695836343219955,3.469558815847736,23.502449946853034,2.6099160604354648,,31.69583634321996,0.1345445661824164,23.50244994685303,0.17276069200847705
2018,persistence,60,6,1,36.55299908622217,3.2857053021498297,27.25796985992348,2.1188453578357302,,,,,
2018,linear (k=6),60,6,1,54.01713198233923,8.17788368380178,37.19388353235498,4.931881221125387,,,,,
2018,ridge (alpha=10),60,6,1,33.292316277157816,2.5463104586561633,24.867188952593597,2.0841629693480326,,,,,
2018,lstm (glucose only),60,6,5,31.303660412948215,2.147279842768088,23.106004602557913,1.6693322970947346,,31.303660412948215,0.09836033233109548,23.106004602557913,0.0746707104987148
2018,lstm (glucose + insulin/carbs),60,6,5,30.995376342339853,2.312934143811581,22.7904304135286,1.7830490730318418,,30.995376342339853,0.2276697213227859,22.790430413528604,0.18741156086703295
2020,persistence,60,6,1,40.33633892807373,5.567290782199441,29.79274626572222,4.33641902044431,,,,,
2020,linear (k=6),60,6,1,56.631604006829726,8.194300464653814,40.047177282305675,6.126591626636875,,,,,
2020,ridge (alpha=10),60,6,1,35.15332247639219,4.700204052694824,26.64281379955024,3.4701958647298285,,,,,
2020,lstm (glucose only),60,6,5,33.83201423476854,4.569754490072979,25.315597540187994,3.3788842903893332,,33.83201423476854,0.06202070992920788,25.31559754018799,0.19068993768408377
2020,lstm (glucose + insulin/carbs),60,6,5,32.39629634410006,4.467217698318533,24.214469480177456,3.254175732608299,,32.396296344100065,0.1217757655121046,24.214469480177456,0.2543347192165374
