horizon_min,cohort,range,model,n_readings,n_patients,rmse,mae,bias,rmse_seed_std
30,all,hypo (<70),persistence,844,12,17.3062,12.2784,9.3661,
30,all,hypo (<70),ridge,844,12,16.9742,14.1494,12.5452,
30,all,hypo (<70),lstm (glucose only),844,12,18.3513,15.5279,15.2501,0.831
30,all,hypo (<70),lstm (glucose + insulin/carbs),844,12,17.9206,14.9227,14.5597,1.043
30,all,in range (70-180),persistence,18802,12,21.4926,15.661,2.5383,
30,all,in range (70-180),ridge,18802,12,18.02,13.0847,3.5298,
30,all,in range (70-180),lstm (glucose only),18802,12,16.9101,12.1082,2.7657,0.1801
30,all,in range (70-180),lstm (glucose + insulin/carbs),18802,12,16.3808,11.7591,2.964,0.3506
30,all,hyper (>180),persistence,10656,12,27.1857,19.6431,-5.4447,
30,all,hyper (>180),ridge,10656,12,24.1267,16.9848,-9.0141,
30,all,hyper (>180),lstm (glucose only),10656,12,22.5841,15.7378,-6.7065,0.27
30,all,hyper (>180),lstm (glucose + insulin/carbs),10656,12,22.1684,15.4394,-7.1953,0.3669
30,2018,hypo (<70),persistence,355,6,18.4753,13.9718,10.0,
30,2018,hypo (<70),ridge,355,6,17.9688,14.6833,12.336,
30,2018,hypo (<70),lstm (glucose only),355,6,19.6816,16.4106,15.9809,0.8584
30,2018,hypo (<70),lstm (glucose + insulin/carbs),355,6,19.6775,16.2537,15.7565,1.0526
30,2018,in range (70-180),persistence,8588,6,21.0373,15.3071,2.5504,
30,2018,in range (70-180),ridge,8588,6,18.0109,12.7909,3.3916,
30,2018,in range (70-180),lstm (glucose only),8588,6,16.7217,11.817,2.7416,0.1719
30,2018,in range (70-180),lstm (glucose + insulin/carbs),8588,6,16.3241,11.5186,2.8683,0.3451
30,2018,hyper (>180),persistence,6454,6,24.8812,17.8508,-4.0578,
30,2018,hyper (>180),ridge,6454,6,23.2072,16.0996,-8.7215,
30,2018,hyper (>180),lstm (glucose only),6454,6,21.3513,14.7365,-6.3984,0.316
30,2018,hyper (>180),lstm (glucose + insulin/carbs),6454,6,21.072,14.5465,-6.9025,0.3868
30,2020,hypo (<70),persistence,489,6,16.4055,11.0491,8.9059,
30,2020,hypo (<70),ridge,489,6,16.214,13.7618,12.6971,
30,2020,hypo (<70),lstm (glucose only),489,6,17.3215,14.887,14.7195,0.8159
30,2020,hypo (<70),lstm (glucose + insulin/carbs),489,6,16.527,13.9564,13.6909,1.0663
30,2020,in range (70-180),persistence,10214,6,21.8681,15.9587,2.5281,
30,2020,in range (70-180),ridge,10214,6,18.0276,13.3317,3.646,
30,2020,in range (70-180),lstm (glucose only),10214,6,17.0669,12.3531,2.7859,0.1882
30,2020,in range (70-180),lstm (glucose + insulin/carbs),10214,6,16.4282,11.9614,3.0445,0.3554
30,2020,hyper (>180),persistence,4202,6,30.3868,22.396,-7.575,
30,2020,hyper (>180),ridge,4202,6,25.4744,18.3444,-9.4635,
30,2020,hyper (>180),lstm (glucose only),4202,6,24.3559,17.2758,-7.1798,0.2284
30,2020,hyper (>180),lstm (glucose + insulin/carbs),4202,6,23.7532,16.8109,-7.6449,0.4018
60,all,hypo (<70),persistence,841,12,38.2548,26.8704,25.4411,
60,all,hypo (<70),ridge,841,12,40.0967,35.051,34.9575,
60,all,hypo (<70),lstm (glucose only),841,12,40.9971,37.4428,37.4428,0.7785
60,all,hypo (<70),lstm (glucose + insulin/carbs),841,12,38.9082,35.1624,35.1624,1.1483
60,all,in range (70-180),persistence,18583,12,35.0434,25.8955,6.7182,
60,all,in range (70-180),ridge,18583,12,29.1029,22.0466,9.7558,
60,all,in range (70-180),lstm (glucose only),18583,12,27.5851,20.7376,8.6923,0.5097
60,all,in range (70-180),lstm (glucose + insulin/carbs),18583,12,26.4586,19.9092,7.4274,0.6282
60,all,hyper (>180),persistence,10537,12,44.4015,33.297,-14.4031,
60,all,hyper (>180),ridge,10537,12,41.6977,31.5119,-24.2216,
60,all,hyper (>180),lstm (glucose only),10537,12,39.606,29.2447,-20.4693,0.7419
