horizon_min,cohort,alert_threshold,model,n_actual_hypo,tp,fp,fn,sensitivity,precision
30,all,70.0,persistence,844,475.0,355.0,369.0,0.5628,0.5723
30,all,70.0,ridge,844,318.0,206.0,526.0,0.3768,0.6069
30,all,70.0,lstm (glucose only),844,219.0,98.6,625.0,0.2595,0.6906
30,all,70.0,lstm (glucose + insulin/carbs),844,264.0,101.0,580.0,0.3128,0.7258
30,all,80.0,persistence,844,655.0,1105.0,189.0,0.7761,0.3722
30,all,80.0,ridge,844,635.0,605.0,209.0,0.7524,0.5121
30,all,80.0,lstm (glucose only),844,629.0,554.6,215.0,0.7453,0.5343
30,all,80.0,lstm (glucose + insulin/carbs),844,643.6,581.0,200.4,0.7626,0.5291
30,all,90.0,persistence,844,768.0,2251.0,76.0,0.91,0.2544
30,all,90.0,ridge,844,784.0,1635.0,60.0,0.9289,0.3241
30,all,90.0,lstm (glucose only),844,776.8,1801.4,67.2,0.9204,0.3022
30,all,90.0,lstm (glucose + insulin/carbs),844,777.2,1785.0,66.8,0.9209,0.3046
30,2018,70.0,persistence,355,198.0,155.0,157.0,0.5577,0.5609
30,2018,70.0,ridge,355,176.0,93.0,179.0,0.4958,0.6543
30,2018,70.0,lstm (glucose only),355,122.8,40.4,232.2,0.3459,0.7547
30,2018,70.0,lstm (glucose + insulin/carbs),355,136.8,44.6,218.2,0.3854,0.7585
30,2018,80.0,persistence,355,265.0,469.0,90.0,0.7465,0.361
30,2018,80.0,ridge,355,265.0,261.0,90.0,0.7465,0.5038
30,2018,80.0,lstm (glucose only),355,270.6,234.0,84.4,0.7623,0.5397
30,2018,80.0,lstm (glucose + insulin/carbs),355,271.6,262.0,83.4,0.7651,0.5126
30,2018,90.0,persistence,355,322.0,961.0,33.0,0.907,0.251
30,2018,90.0,ridge,355,327.0,687.0,28.0,0.9211,0.3225
30,2018,90.0,lstm (glucose only),355,326.2,745.4,28.8,0.9189,0.3053
30,2018,90.0,lstm (glucose + insulin/carbs),355,324.8,747.0,30.2,0.9149,0.3047
30,2020,70.0,persistence,489,277.0,200.0,212.0,0.5665,0.5807
30,2020,70.0,ridge,489,142.0,113.0,347.0,0.2904,0.5569
30,2020,70.0,lstm (glucose only),489,96.2,58.2,392.8,0.1967,0.6213
30,2020,70.0,lstm (glucose + insulin/carbs),489,127.2,56.4,361.8,0.2601,0.6937
30,2020,80.0,persistence,489,390.0,636.0,99.0,0.7975,0.3801
30,2020,80.0,ridge,489,370.0,344.0,119.0,0.7566,0.5182
30,2020,80.0,lstm (glucose only),489,358.4,320.6,130.6,0.7329,0.5303
30,2020,80.0,lstm (glucose + insulin/carbs),489,372.0,319.0,117.0,0.7607,0.5419
30,2020,90.0,persistence,489,446.0,1290.0,43.0,0.9121,0.2569
30,2020,90.0,ridge,489,457.0,948.0,32.0,0.9346,0.3253
30,2020,90.0,lstm (glucose only),489,450.6,1056.0,38.4,0.9215,0.3
30,2020,90.0,lstm (glucose + insulin/carbs),489,452.4,1038.0,36.6,0.9252,0.3046
60,all,70.0,persistence,841,283.0,533.0,558.0,0.3365,0.3468
60,all,70.0,ridge,841,36.0,98.0,805.0,0.0428,0.2687
60,all,70.0,lstm (glucose only),841,0.0,0.2,841.0,0.0,0.0
60,all,70.0,lstm (glucose + insulin/carbs),841,1.4,3.4,839.6,0.0017,0.25
60,all,80.0,persistence,841,429.0,1314.0,412.0,0.5101,0.2461
60,all,80.0,ridge,841,118.0,330.0,723.0,0.1403,0.2634
60,all,80.0,lstm (glucose only),841,8.6,14.2,832.4,0.0102,0.3633
60,all,80.0,lstm (glucose + insulin/carbs),841,45.4,61.4,795.6,0.054,0.4377
60,all,90.0,persistence,841,546.0,2436.0,295.0,0.6492,0.1831
60,all,90.0,ridge,841,385.0,821.0,456.0,0.4578,0.3192
60,all,90.0,lstm (glucose only),841,269.4,471.6,571.6,0.3203,0.3627
60,all,90.0,lstm (glucose + insulin/carbs),841,344.6,617.4,496.4,0.4098,0.3634
60,2018,70.0,persistence,354,104.0,249.0,250.0,0.2938,0.2946
60,2018,70.0,ridge,354,28.0,50.0,326.0,0.0791,0.359
60,2018,70.0,lstm (glucose only),354,0.0,0.0,354.0,0.0,
60,2018,70.0,lstm (glucose + insulin/carbs),354,0.2,2.6,353.8,0.0006,0.0556
60,2018,80.0,persistence,354,156.0,576.0,198.0,0.4407,0.2131
60,2018,80.0,ridge,354,71.0,163.0,283.0,0.2006,0.3034
60,2018,80.0,lstm (glucose only),354,7.4,8.4,346.6,0.0209,0.4379
60,2018,80.0,lstm (glucose + insulin/carbs),354,17.4,33.0,336.6,0.0492,0.326
60,2018,90.0,persistence,354,214.0,1063.0,140.0,0.6045,0.1676
60,2018,90.0,ridge,354,164.0,372.0,190.0,0.4633,0.306
60,2018,90.0,lstm (glucose only),354,118.4,204.0,235.6,0.3345,0.3634
60,2018,90.0,lstm (glucose + insulin/carbs),354,149.2,296.0,204.8,0.4215,0.3409
60,2020,70.0,persistence,487,179.0,284.0,308.0,0.3676,0.3866
60,2020,70.0,ridge,487,8.0,48.0,479.0,0.0164,0.1429
60,2020,70.0,lstm (glucose only),487,0.0,0.2,487.0,0.0,0.0
60,2020,70.0,lstm (glucose + insulin/carbs),487,1.2,0.8,485.8,0.0025,0.5238
60,2020,80.0,persistence,487,273.0,738.0,214.0,0.5606,0.27
60,2020,80.0,ridge,487,47.0,167.0,440.0,0.0965,0.2196
60,2020,80.0,lstm (glucose only),487,1.2,5.8,485.8,0.0025,0.1375
60,2020,80.0,lstm (glucose + insulin/carbs),487,28.0,28.4,459.0,0.0575,0.4481
60,2020,90.0,persistence,487,332.0,1373.0,155.0,0.6817,0.1947
60,2020,90.0,ridge,487,221.0,449.0,266.0,0.4538,0.3299
60,2020,90.0,lstm (glucose only),487,151.0,267.6,336.0,0.3101,0.3586
60,2020,90.0,lstm (glucose + insulin/carbs),487,195.4,321.4,291.6,0.4012,0.3823
