horizon_min,cohort,model,n_lag_windows,best_lag_min,best_lag_per_seed_min,rmse_at_lag0,rmse_at_best_lag,rmse_at_horizon_lag,n_large_moves,delta_corr,delta_slope,direction_acc_large_moves
30,all,persistence,30046,30,[30],23.3475,0.0,0.0,17625,0.0,0.0,0.0
30,all,ridge,30046,25,[25],20.08,9.5233,11.5841,17625,0.5043,0.2489,0.7639
30,all,lstm (glucose only),30046,20,"[20, 20, 20, 20, 20]",18.8815,10.9564,13.8422,17625,0.5844,0.3431,0.7914
30,all,lstm (glucose + insulin/carbs),30046,20,"[20, 20, 20, 20, 20]",18.4168,11.8119,14.7249,17625,0.6118,0.3824,0.8038
30,2018,persistence,15264,30,[30],22.5271,0.0,0.0,8841,0.0,0.0,0.0
30,2018,ridge,15264,25,[25],20.1032,10.045,11.7698,8841,0.4509,0.2334,0.7523
30,2018,lstm (glucose only),15264,20,"[20, 20, 25, 25, 25]",18.6421,11.2597,13.4218,8841,0.558,0.3293,0.7822
30,2018,lstm (glucose + insulin/carbs),15264,20,"[20, 20, 20, 20, 20]",18.3308,12.1653,14.3996,8841,0.5812,0.3681,0.7959
30,2020,persistence,14782,30,[30],24.1654,0.0,0.0,8784,0.0,0.0,0.0
30,2020,ridge,14782,25,[25],20.0561,8.9528,11.3892,8784,0.5609,0.2626,0.7755
30,2020,lstm (glucose only),14782,20,"[20, 20, 20, 20, 20]",19.1254,10.6334,14.2628,8784,0.6093,0.3552,0.8008
30,2020,lstm (glucose + insulin/carbs),14782,20,"[20, 20, 20, 20, 20]",18.5048,11.4337,15.0525,8784,0.6411,0.395,0.8117
60,all,persistence,29410,60,[60],38.3063,0.0,0.0,22234,0.0,0.0,0.0
60,all,ridge,29410,50,[50],33.9792,16.6601,18.5677,22234,0.4603,0.2209,0.6911
60,all,lstm (glucose only),29410,45,"[45, 45, 45, 45, 45]",32.3611,18.014,21.1272,22234,0.5343,0.2923,0.7277
60,all,lstm (glucose + insulin/carbs),29410,45,"[45, 45, 45, 45, 45]",31.5149,20.1605,23.0883,22234,0.5713,0.3403,0.7458
60,2018,persistence,15000,60,[60],36.4594,0.0,0.0,11250,0.0,0.0,0.0
60,2018,ridge,15000,55,[55],32.9676,17.7187,19.236,11250,0.4335,0.2244,0.6862
60,2018,lstm (glucose only),15000,50,"[50, 50, 50, 50, 50]",31.01,18.556,21.0863,11250,0.5237,0.3003,0.7237
60,2018,lstm (glucose + insulin/carbs),15000,45,"[45, 45, 45, 45, 45]",30.7438,20.7674,23.1787,11250,0.5455,0.3414,0.7394
60,2020,persistence,14410,60,[60],40.1387,0.0,0.0,10984,0.0,0.0,0.0
60,2020,ridge,14410,50,[50],35.0013,15.3909,17.8454,10984,0.4954,0.2177,0.696
60,2020,lstm (glucose only),14410,45,"[45, 45, 45, 45, 45]",33.71,17.3776,21.168,10984,0.5475,0.2854,0.7317
60,2020,lstm (glucose + insulin/carbs),14410,45,"[45, 45, 45, 45, 45]",32.2976,19.5066,22.9918,10984,0.599,0.3393,0.7523
