split,horizon_min,window_len,patient,candidates,rejected_target_not_observed,rejected_nan_input,rejected_imputed_frac,kept,boundary_dropped
train,30,12,559,9648,1101,468,56,8023,
train,30,12,563,10461,770,136,30,9525,
train,30,12,570,9272,454,201,14,8603,
train,30,12,575,10465,991,431,190,8853,
train,30,12,588,10467,428,139,3,9897,
train,30,12,591,10188,1828,267,48,8045,
train,30,12,540,10470,712,239,50,9469,
train,30,12,544,10121,1817,214,14,8076,
train,30,12,552,8861,1619,301,71,6870,
train,30,12,567,10812,2103,603,41,8065,
train,30,12,584,10581,714,330,103,9434,
train,30,12,596,10887,2154,265,19,8449,
val,30,12,559,2399,184,98,13,2104,17.0
val,30,12,563,2602,203,46,12,2341,17.0
val,30,12,570,2305,175,85,0,2045,17.0
val,30,12,575,2604,246,131,12,2215,17.0
val,30,12,588,2604,37,17,0,2550,17.0
val,30,12,591,2534,81,17,9,2427,17.0
val,30,12,540,2605,450,81,3,2071,17.0
val,30,12,544,2517,232,105,9,2171,17.0
val,30,12,552,2203,399,87,15,1702,17.0
val,30,12,567,2690,558,181,5,1946,17.0
val,30,12,584,2632,384,149,18,2081,17.0
val,30,12,596,2709,599,34,0,2076,17.0
test,30,12,559,2860,363,152,1,2344,
test,30,12,563,2675,122,17,0,2536,
test,30,12,570,2862,134,105,11,2612,
test,30,12,575,2702,129,88,29,2456,
test,30,12,588,2864,90,34,0,2740,
test,30,12,591,2830,87,34,0,2709,
test,30,12,540,3049,170,62,44,2773,
test,30,12,544,3119,420,51,9,2639,
test,30,12,552,3933,1586,102,11,2234,
test,30,12,567,2853,481,153,19,2200,
test,30,12,584,2978,330,164,49,2435,
test,30,12,596,2985,259,96,6,2624,
